Data,Visualizações da página Visão geral (computadores),Visualizações da página Visão geral (dispositivos móveis),Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (computadores),Visitantes únicos da página Visão geral (dispositivos móveis),Visitantes únicos da página Visão geral (total),Visualizações da página Dia a dia (computadores),Visualizações da página Dia a dia (dispositivos móveis),Visualizações da página Dia a dia (total),Visitantes únicos da página Dia a dia (computadores),Visitantes únicos da página Dia a dia (dispositivos móveis),Visitantes únicos da página Dia a dia (total),Visualizações da página Vagas (computadores),Visualizações da página Vagas (dispositivos móveis),Visualizações da página Vagas (total),Visitantes únicos da página Vagas (computadores),Visitantes únicos da página Vagas (dispositivos móveis),Visitantes únicos da página Vagas (total),Total de visualizações da página (computadores),Total de visualizações da página (dispositivos móveis),Total de visualizações da página (total),Total de visitantes únicos (computadores),Total de visitantes únicos (dispositivos móveis),Total de visitantes únicos (total)
06/28/2023,385,1130,1515,259,417,671,0,0,0,0,0,0,72,54,126,66,47,113,532,1312,1844,260,417,672
06/29/2023,707,2069,2776,471,824,1293,0,0,0,0,0,0,138,120,258,129,102,231,966,2446,3412,473,824,1295
06/30/2023,254,906,1160,168,260,419,0,0,0,0,0,0,55,37,92,49,31,79,359,1057,1416,168,261,420
07/01/2023,98,0,98,61,0,61,0,0,0,0,0,0,18,8,26,15,8,23,133,8,141,62,8,70
07/02/2023,88,356,444,62,138,197,0,0,0,0,0,0,25,10,35,24,8,32,133,414,547,63,138,198
07/03/2023,220,431,651,120,154,273,0,0,0,0,0,0,53,33,86,47,22,69,337,538,875,121,154,274
07/04/2023,196,385,581,126,125,248,0,0,0,0,0,0,45,19,64,40,14,54,287,452,739,127,125,249
07/05/2023,184,0,184,107,0,107,0,0,0,0,0,0,35,7,42,33,6,39,253,7,260,107,6,113
07/06/2023,139,372,511,86,114,200,0,0,0,0,0,0,31,9,40,25,7,32,198,423,621,88,114,202
07/07/2023,133,510,643,84,162,243,0,0,0,0,0,0,33,24,57,32,22,54,200,619,819,85,162,244
07/08/2023,70,435,505,53,178,230,0,0,0,0,0,0,10,41,51,10,33,43,95,548,643,55,178,231
07/09/2023,31,0,31,24,0,24,0,0,0,0,0,0,12,8,20,11,8,19,51,8,59,24,8,32
07/10/2023,275,554,829,155,188,340,0,0,0,0,0,0,72,41,113,68,35,103,407,677,1084,155,189,341
07/11/2023,259,649,908,149,191,338,0,0,0,0,0,0,71,49,120,64,30,94,387,765,1152,151,191,340
07/12/2023,157,0,157,108,0,108,0,0,0,0,0,0,34,3,37,31,3,34,208,3,211,108,3,111
07/13/2023,102,320,422,61,95,153,0,0,0,0,0,0,20,15,35,18,13,31,137,368,505,61,95,153
07/14/2023,124,0,124,75,0,75,0,0,0,0,0,0,23,0,23,22,0,22,174,0,174,75,0,75
07/15/2023,48,0,48,29,0,29,0,0,0,0,0,0,13,0,13,11,0,11,65,0,65,29,0,29
07/16/2023,32,0,32,22,0,22,0,0,0,0,0,0,11,0,11,10,0,10,45,0,45,22,0,22
07/17/2023,137,0,137,85,0,85,0,0,0,0,0,0,29,1,30,28,1,29,190,1,191,85,1,86
07/18/2023,155,0,155,88,0,88,0,0,0,0,0,0,34,4,38,32,2,34,210,4,214,88,2,90
07/19/2023,201,417,618,124,149,270,0,0,0,0,0,0,45,25,70,40,22,62,286,501,787,124,149,270
07/20/2023,129,317,446,69,95,164,0,0,0,0,0,0,33,11,44,28,10,38,185,374,559,70,95,165
07/21/2023,140,0,140,93,0,93,0,0,0,0,0,0,26,0,26,24,0,24,197,0,197,93,0,93
07/22/2023,52,241,293,29,81,110,0,0,0,0,0,0,20,11,31,17,10,27,85,288,373,29,81,110
07/23/2023,30,0,30,18,0,18,0,0,0,0,0,0,4,0,4,4,0,4,34,0,34,18,0,18
07/24/2023,111,316,427,68,101,167,0,0,0,0,0,0,27,10,37,24,9,33,168,358,526,68,101,167
07/25/2023,113,403,516,69,115,183,0,0,0,0,0,0,25,10,35,23,9,32,151,458,609,69,115,183
07/26/2023,153,379,532,86,132,216,0,0,0,0,0,0,35,25,60,33,17,50,213,453,666,86,133,217
07/27/2023,131,397,528,69,126,195,0,0,0,0,0,0,31,14,45,26,11,37,182,463,645,69,126,195
07/28/2023,87,267,354,63,80,143,0,0,0,0,0,0,26,12,38,25,11,36,129,307,436,63,80,143
07/29/2023,60,362,422,39,119,158,0,0,0,0,0,0,18,17,35,16,13,29,86,421,507,39,119,158
07/30/2023,40,247,287,26,78,104,0,0,0,0,0,0,10,11,21,9,10,19,53,301,354,26,78,104
07/31/2023,173,0,173,99,0,99,0,0,0,0,0,0,55,1,56,51,1,52,269,1,270,99,1,100
08/01/2023,119,375,494,76,124,200,0,0,0,0,0,0,29,15,44,26,12,38,161,433,594,77,124,201
08/02/2023,116,318,434,65,112,176,0,0,0,0,0,0,34,15,49,31,15,46,177,388,565,65,113,177
08/03/2023,128,0,128,70,0,70,0,0,0,0,0,0,35,2,37,30,1,31,186,2,188,70,1,71
08/04/2023,106,0,106,57,0,57,0,0,0,0,0,0,27,0,27,23,0,23,157,0,157,57,0,57
08/05/2023,42,256,298,25,67,92,0,0,0,0,0,0,12,12,24,12,11,23,62,304,366,25,67,92
08/06/2023,19,127,146,13,37,49,0,0,0,0,0,0,4,4,8,4,4,8,25,141,166,13,37,49
08/07/2023,73,210,283,46,78,123,0,0,0,0,0,0,18,16,34,16,14,30,106,259,365,47,78,124
08/08/2023,109,262,371,59,86,145,0,0,0,0,0,0,19,17,36,18,15,33,151,322,473,60,86,146
08/09/2023,140,362,502,79,116,194,0,0,0,0,0,0,43,31,74,41,23,64,223,442,665,80,116,195
